aaba	æː b æ
andisleben	æ n d i s l e b e n
ando	æ n d ɔ
andorra	æ n d ɔ r r æ
andr	æ n d r
andre	æ n d r e
andrea	æ n d r e æ
andrejs	æ n d r e d͡ʒ s
andrew	æ n d r e w
andrija	æ n d r i d͡ʒ æ
andriopoulos	æ n d r i ɔ ɔ u l ɔ s
andriy	æ n d r i j
android	æ n d r ɔ i d
andu	æ n d u
andy	æ n d j
aneemiyo	æ n eː m i j ɔ
aneexo	æ n eː ħ ɔ
anel	æ n e l
anena	æ n e n æ
anezi	æ n e i
angalool	æ n ɡ æ l ɔː l
angela	æ n ɡ e l æ
angelburg	æ n ɡ e l b u r ɡ
angeles	æ n ɡ e l e s
angelina	æ n ɡ e l i n æ
angell	æ n ɡ e l l
angereb	æ n ɡ e r e b
angern	æ n ɡ e r n
angga	æ n ɡ ɡ æ
anggun	æ n ɡ ɡ u n
anghami	æ n ɡ h æ m i
angiospermae	æ n ɡ i ɔ s e r m æ e
anglana	æ n ɡ l æ n æ
angle	æ n ɡ l e
anglo	æ n ɡ l ɔ
ango	æ n ɡ ɔ
angola	æ n ɡ ɔ l æ
angularis	æ n ɡ u l æ r i s
angus	æ n ɡ u s
anhausen	æ n h æ u s e n
anhui	æ n h u i
aniakor	æ n i æ k ɔ r
animal	æ n i m æ l
ankara	æ n k æ r æ
ankarafantsika	æ n k æ r æ f æ n t s i k æ
ankum	æ n k u m
ann	æ n n
anna	æ n n æ
annaburg	æ n n æ b u r ɡ
anne	æ n n e
annelisa	æ n n e l i s æ
ano	æ n ɔ
anod	æ n ɔ d
anok	æ n ɔ k
anomaly	æ n ɔ m æ l j
anopheles	æ n ɔ h e l e s
another	æ n ɔ t h e r
anoushay	æ n ɔ u ʃ æ j
anr	æ n r
ansaar	æ n s æː r
ansaari	æ n s æː r i
ansari	æ n s æ r i
anschau	æ n s ʕ h æ u
answer	æ n s w e r
ant	æ n t
antalya	æ n t æ l j æ
antananarifo	æ n t æ n æ n æ r i f ɔ
antaraktika	æ n t æ r æ k t i k æ
antarktika	æ n t æ r k t i k æ
antartika	æ n t æ r t i k æ
antdorf	æ n t d ɔ r f
anthem	æ n t h e m
anthony	æ n t h ɔ n j
anthrobologist	æ n t h r ɔ b ɔ l ɔ ɡ i s t
anthroboloji	æ n t h r ɔ b ɔ l ɔ d͡ʒ i
anti	æ n t i
antiarktis	æ n t i æ r k t i s
antigua	æ n t i ɡ u æ
antimony	æ n t i m ɔ n j
antjie	æ n t d͡ʒ i e
antoine	æ n t ɔ i n e
antoinette	æ n t ɔ i n e t t e
anton	æ n t ɔ n
antonio	æ n t ɔ n i ɔ
antonios	æ n t ɔ n i ɔ s
antoniyo	æ n t ɔ n i j ɔ
antweiler	æ n t w e i l e r
antwoord	æ n t w ɔː r d
anubis	æ n u b i s
anuku	æ n u k u
anyaene	æ n j æ e n e
anzing	æ n i n ɡ
aoa	æ ɔ æ
aofiyebi	æ ɔ f i j e b i
aoi	æ ɔ i
aor	æ ɔ r
aoukar	æ ɔ u k æ r
aoyama	æ ɔ j æ m æ
apa	æ æ
apache	æ æ ʕ h e
apelern	æ e l e r n
apen	æ e n
apensen	æ e n s e n
apfeldorf	æ f e l d ɔ r f
apfeltrach	æ f e l t r æ ʕ h
apiafi	æ i æ f i
apink	æ i n k
aplerbeck	æ l e r b e ʕ k
apolda	æ ɔ l d æ
apollo	æ ɔ l l ɔ
apollonia	æ ɔ l l ɔ n i æ
app	æ
appeln	æ e l n
appen	æ e n
appenheim	æ e n h e i m
appenweier	æ e n w e i e r
apple	æ l e
appo	æ ɔ
appollis	æ ɔ l l i s
april	æ r i l
apti	æ t i
aqable	æ q æ b l e
aqal	æ q æ l
aqalka	æ q æ l k æ
aqeel	æ q eː l
aqi	æ q i
aqoon	æ q ɔː n
aqoondarro	æ q ɔː n d æ r r ɔ
aqoondirsad	æ q ɔː n d i r s æ d
aqooneedka	æ q ɔː n eː d k æ
aqoonkaal	æ q ɔː n k æː l
aqoonmaal	æ q ɔː n m æː l
aqoonsiga	æ q ɔː n s i ɡ æ
aqoonta	æ q ɔː n t æ
aqriste	æ q r i s t e
aqsa	æ q s æ
aquarius	æ q u æ r i u s
aquila	æ q u i l æ
aquino	æ q u i n ɔ
ar	æ r
ara	æ r æ
araare	æ r æː r e
araarso	æ r æː r s ɔ
arab	æ r æ b
arabel	æ r æ b e l
arabia	æ r æ b i æ
arabsiyo	æ r æ b s i j ɔ
arabta	æ r æ b t æ
arag	æ r æ ɡ
araga	æ r æ ɡ æ
aragon	æ r æ ɡ ɔ n
aragti	æ r æ ɡ t i
aragtida	æ r æ ɡ t i d æ
aragto	æ r æ ɡ t ɔ
arai	æ r æ i
arakawa	æ r æ k æ w æ
aralola	æ r æ l ɔ l æ
aramide	æ r æ m i d e
araminta	æ r æ m i n t æ
aramka	æ r æ m k æ
arango	æ r æ n ɡ ɔ
arap	æ r æ
arat	æ r æ t
araz	æ r æ
arbach	æ r b æ ʕ h
arbaco	æ r b æ ʕ ɔ
arberg	æ r b e r ɡ
arbor	æ r b ɔ r
arcelik	æ r ʕ e l i k
archange	æ r ʕ h æ n ɡ e
arda	æ r d æ
arday	æ r d æ j
ardayda	æ r d æ j d æ
ardey	æ r d e j
ardibbo	æ r d i b b ɔ
ardogrol	æ r d ɔ ɡ r ɔ l
are	æ r e
area	æ r e æ
areia	æ r e i æ
aremberg	æ r e m b e r ɡ
arena	æ r e n æ
arendsee	æ r e n d s eː
arenrath	æ r e n r æ t h
arenshausen	æ r e n ʃ æ u s e n
arfakshad	æ r f æ k ʃ æ d
arga	æ r ɡ æ
argagixisada	æ r ɡ æ ɡ i ħ i s æ d æ
argentine	æ r ɡ e n t i n e
argentino	æ r ɡ e n t i n ɔ
argon	æ r ɡ ɔ n
argungu	æ r ɡ u n ɡ u
argyropoulos	æ r ɡ j r ɔ ɔ u l ɔ s
ari	æ r i
ariana	æ r i æ n æ
aribasoye	æ r i b æ s ɔ j e
ariel	æ r i e l
arif	æ r i f
arika	æ r i k æ
aripov	æ r i ɔ
arisona	æ r i s ɔ n æ
aristarchus	æ r i s t æ r ʕ h u s
arizona	æ r i ɔ n æ
arjac	æ r d͡ʒ æ ʕ
arjantiina	æ r d͡ʒ æ n t iː n æ
arkansas	æ r k æ n s æ s
arke	æ r k e
arkeyaan	æ r k e j æː n
arktik	æ r k t i k
arktika	æ r k t i k æ
armaajo	æ r m æː d͡ʒ ɔ
armando	æ r m æ n d ɔ
armania	æ r m æ n i æ
armeeniya	æ r m eː n i j æ
armiiniya	æ r m iː n i j æ
armistaroong	æ r m i s t æ r ɔː n ɡ
armstrong	æ r m s t r ɔ n ɡ
arno	æ r n ɔ
arnold	æ r n ɔ l d
aro	æ r ɔ
aron	æ r ɔ n
aroor	æ r ɔː r
aroos	æ r ɔː s
arora	æ r ɔ r æ
arrimaha	æ r r i m æ h æ
arrin	æ r r i n
arrinta	æ r r i n t æ
ars	æ r s
arsalaan	æ r s æ l æː n
arsenal	æ r s e n æ l
arsenault	æ r s e n æ u l t
arsenic	æ r s e n i ʕ
art	æ r t
arthur	æ r t h u r
arts	æ r t s
artwork	æ r t w ɔ r k
aruba	æ r u b æ
arubayi	æ r u b æ j i
aruwan	æ r u w æ n
arwadito	æ r w æ d i t ɔ
aryan	æ r j æ n
arzanjaan	æ r æ n d͡ʒ æː n
as	æ s
asaal	æ s æː l
asaasiga	æ s æː s i ɡ æ
asad	æ s æ d
asadu	æ s æ d u
asal	æ s æ l
asalka	æ s æ l k æ
asania	æ s æ n i æ
asari	æ s æ r i
ascending	æ s ʕ e n d i n ɡ
ascension	æ s ʕ e n s i ɔ n
aschalew	æ s ʕ h æ l e w
aseel	æ s eː l
aserbiijaan	æ s e r b iː d͡ʒ æː n
aseza	æ s e æ
asfahaan	æ s f æ h æː n
asha	æ ʃ æ
ashanti	æ ʃ æ n t i
asharaaf	æ ʃ æ r æː f
ashcari	æ ʃ ʕ æ r i
ashcariya	æ ʃ ʕ æ r i j æ
ashenge	æ ʃ e n ɡ e
ashford	æ ʃ f ɔ r d
ashina	æ ʃ i n æ
ashira	æ ʃ i r æ
ashkelon	æ ʃ k e l ɔ n
ashkir	æ ʃ k i r
ashley	æ ʃ l e j
ashoka	æ ʃ ɔ k æ
ashraaf	æ ʃ r æː f
ashraf	æ ʃ r æ f
ashtar	æ ʃ t æ r
ashuur	æ ʃ uː r
asia	æ s i æ
asiatic	æ s i æ t i ʕ
asiayatik	æ s i æ j æ t i k
asiegbu	æ s i e ɡ b u
asimo	æ s i m ɔ
asir	æ s i r
asiricomedy	æ s i r i ʕ ɔ m e d j
asiya	æ s i j æ
asiyaatik	æ s i j æː t i k
asiyatik	æ s i j æ t i k
asiyriya	æ s i j r i j æ
asiyriyaan	æ s i j r i j æː n
askandariya	æ s k æ n d æ r i j æ
askari	æ s k æ r i
askmen	æ s k m e n
asli	æ s l i
asluub	æ s l uː b
asluubta	æ s l uː b t æ
asma	æ s m æ
asmaa	æ s m æː
asmara	æ s m æ r æ
asnanic	æ s n æ n i ʕ
asphalt	æ s h æ l t
asphaltka	æ s h æ l t k æ
assalkoodii	æ s s æ l k ɔː d iː
assallah	æ s s æ l l æ h
assamese	æ s s æ m e s e
assange	æ s s æ n ɡ e
assisi	æ s s i s i
assiut	æ s s i u t
assiyriya	æ s s i j r i j æ
assiyriyaan	æ s s i j r i j æː n
association	æ s s ɔ ʕ i æ t i ɔ n
assomal	æ s s ɔ m æ l
assoumane	æ s s ɔ u m æ n e
assur	æ s s u r
astaamaha	æ s t æː m æ h æ
astaamayn	æ s t æː m æ j n
astaan	æ s t æː n
astaannta	æ s t æː n n t æ
astaanta	æ s t æː n t æ
astantiin	æ s t æ n t iː n
astatiin	æ s t æ t iː n
astatine	æ s t æ t i n e
asteroid	æ s t e r ɔ i d
astrid	æ s t r i d
astronomical	æ s t r ɔ n ɔ m i ʕ æ l
astronomy	æ s t r ɔ n ɔ m j
asuka	æ s u k æ
aswad	æ s w æ d
asxaabi	æ s ħ æː b i
at	æ t
atam	æ t æ m
atandwa	æ t æ n d w æ
atargatis	æ t æ r ɡ æ t i s
atariisho	æ t æ r iː ʃ ɔ
atat	æ t æ t
ate	æ t e
atedo	æ t e d ɔ
ateny	æ t e n j
athi	æ t h i
atigwe	æ t i ɡ w e
atlaantik	æ t l æː n t i k
atlanta	æ t l æ n t æ
atlantic	æ t l æ n t i ʕ
atlantika	æ t l æ n t i k æ
atlas	æ t l æ s
atm	æ t m
ato	æ t ɔ
atobatele	æ t ɔ b æ t e l e
atom	æ t ɔ m
atoore	æ t ɔː r e
attack	æ t t æ ʕ k
attah	æ t t æ h
atul	æ t u l
au	æ u
aud	æ u d
audu	æ u d u
auge	æ u ɡ e
augrabies	æ u ɡ r æ b i e s
august	æ u ɡ u s t
augusta	æ u ɡ u s t æ
augusto	æ u ɡ u s t ɔ
augusts	æ u ɡ u s t s
aujo	æ u d͡ʒ ɔ
aulia	æ u l i æ
auschwitz	æ u s ʕ h w i t
austin	æ u s t i n
australia	æ u s t r æ l i æ
austria	æ u s t r i æ
austriya	æ u s t r i j æ
av	æ
avacado	æ æ ʕ æ d ɔ
avanc	æ æ n ʕ
avc	æ ʕ
avenue	æ e n u e
avirons	æ i r ɔ n s
avn	æ n
avocado	æ ɔ ʕ æ d ɔ
avogadro	æ ɔ ɡ æ d r ɔ
avu	æ u
aw	æ w
awaaji	æ w æː d͡ʒ i
awaal	æ w æː l
awaia	æ w æ i æ
awal	æ w æ l
awale	æ w æ l e
awan	æ w æ n
award	æ w æ r d
awasa	æ w æ s æ
aways	æ w æ j s
awbadeedaha	æ w b æ d eː d æ h æ
awbare	æ w b æ r e
awdal	æ w d æ l
awdalada	æ w d æ l æ d æ
awdalka	æ w d æ l k æ
awdalland	æ w d æ l l æ n d
awdalooyinka	æ w d æ l ɔː j i n k æ
awdheegle	æ w ɖ eː ɡ l e
aweng	æ w e n ɡ
awgaduud	æ w ɡ æ d uː d
awia	æ w i æ
awil	æ w i l
awiye	æ w i j e
awjila	æ w d͡ʒ i l æ
awnimada	æ w n i m æ d æ
awood	æ w ɔː d
awoodda	æ w ɔː d d æ
awoow	æ w ɔː w
awoowe	æ w ɔː w e
awrame	æ w r æ m e
awrboogays	æ w r b ɔː ɡ æ j s
awrtable	æ w r t æ b l e
awsa	æ w s æ
awstin	æ w s t i n
awstriya	æ w s t r i j æ
awtooyadii	æ w t ɔː j æ d iː
awurum	æ w u r u m
awwal	æ w w æ l
awxasan	æ w ħ æ s æ n
axaatiista	æ ħ æː t iː s t æ
axad	æ ħ æ d
axalka	æ ħ æ l k æ
axdiga	æ ħ d i ɡ æ
axdigii	æ ħ d i ɡ iː
axkaamta	æ ħ k æː m t æ
axmad	æ ħ m æ d
axmadey	æ ħ m æ d e j
axmadinajaad	æ ħ m æ d i n æ d͡ʒ æː d
axmed	æ ħ m e d
axmediyya	æ ħ m e d i j j æ
axzaabta	æ ħ æː b t æ
ay	æ j
ayaa	æ j æː
ayaan	æ j æː n
ayaanle	æ j æː n l e
ayan	æ j æ n
ayanda	æ j æ n d æ
ayatullah	æ j æ t u l l æ h
ayax	æ j æ ħ
aybuk	æ j b u k
aydar	æ j d æ r
aydid	æ j d i d
ayeeyo	æ j eː j ɔ
ayesha	æ j e ʃ æ
ayinla	æ j i n l æ
ayman	æ j m æ n
ayna	æ j n æ
ayni	æ j n i
ayo	æ j ɔ
ayobami	æ j ɔ b æ m i
ayobola	æ j ɔ b ɔ l æ
ayodele	æ j ɔ d e l e
ayola	æ j ɔ l æ
ayres	æ j r e s
ayris	æ j r i s
ayrland	æ j r l æ n d
ayslaan	æ j s l æː n
aysland	æ j s l æ n d
ayteen	æ j t eː n
ayuba	æ j u b æ
ayun	æ j u n
ayuu	æ j uː
ayuub	æ j uː b
ayuubiyiinta	æ j uː b i j iː n t æ
ayyuubi	æ j j uː b i
az	æ
azad	æ æ d
azalea	æ æ l e æ
azania	æ æ n i æ
azawaad	æ æ w æː d
azawad	æ æ w æ d
azawagh	æ æ w æ ɡ h
azc	æ ʕ
azegza	æ e ɡ æ
azerbaijan	æ e r b æ i d͡ʒ æ n
azimio	æ i m i ɔ
aziz	æ i
aziza	æ i æ
azra	æ r æ
azteca	æ t e ʕ æ
aztecs	æ t e ʕ s
azu	æ u
ba	b æ
baabiloon	b æː b i l ɔː n
baabiyloon	b æː b i j l ɔː n
baabiylooniya	b æː b i j l ɔː n i j æ
baabka	b æː b k æ
baabur	b æː b u r
baabuur	b æː b uː r
baadari	b æː d æ r i
baadariga	b æː d æ r i ɡ æ
baadca	b æː d ʕ æ
baadicade	b æː d i ʕ æ d e
baadiye	b æː d i j e
baadka	b æː d k æ
baagamuundo	b æː ɡ æ m uː n d ɔ
baahi	b æː h i
baahinta	b æː h i n t æ
baahiye	b æː h i j e
baahsan	b æː h s æ n
baajamaal	b æː d͡ʒ æ m æː l
baajuuni	b æː d͡ʒ uː n i
baajuunta	b æː d͡ʒ uː n t æ
baakistaan	b æː k i s t æː n
baakistan	b æː k i s t æ n
baalade	b æː l æ d e
baalcad	b æː l ʕ æ d
baale	b æː l e
baalparaizo	b æː l æ r æ i ɔ
baaluq	b æː l u q
baaluqnimada	b æː l u q n i m æ d æ
baaluqnimo	b æː l u q n i m ɔ
baanad	b æː n æ d
baanasho	b æː n æ ʃ ɔ
baando	b æː n d ɔ
baanis	b æː n i s
baanjuuni	b æː n d͡ʒ uː n i
baanka	b æː n k æ
baantuga	b æː n t u ɡ æ
baantuuga	b æː n t uː ɡ æ
baaq	b æː q
baaqa	b æː q æ
baar	b æː r
baard	b æː r d
baardheere	b æː r ɖ eː r e
baargaal	b æː r ɡ æː l
baariga	b æː r i ɡ æ
baariis	b æː r iː s
baaris	b æː r i s
baariyaam	b æː r i j æː m
baarka	b æː r k æ
baarlamaan	b æː r l æ m æː n
baarlamaanka	b æː r l æ m æː n k æ
baarliin	b æː r l iː n
baarmagoog	b æː r m æ ɡ ɔː ɡ
baarran	b æː r r æ n
baartaanda	b æː r t æː n d æ
baarwayn	b æː r w æ j n
baasaboor	b æː s æ b ɔː r
baasaboorka	b æː s æ b ɔː r k æ
baashaa	b æː ʃ æː
baashe	b æː ʃ e
baashi	b æː ʃ i
baasifig	b æː s i f i ɡ
baasifiga	b æː s i f i ɡ æ
baasifik	b æː s i f i k
baaskiil	b æː s k iː l
baasto	b æː s t ɔ
baaxad	b æː ħ æ d
baaxadsooraha	b æː ħ æ d s ɔː r æ h æ
baay	b æː j
baba	b æ b æ
babaay	b æ b æː j
babajide	b æ b æ d͡ʒ i d e
babar	b æ b æ r
babati	b æ b æ t i
babatunde	b æ b æ t u n d e
babburka	b æ b b u r k æ
bablo	b æ b l ɔ
babuur	b æ b uː r
babuurka	b æ b uː r k æ
baby	b æ b j
babyraids	b æ b j r æ i d s
bac	b æ ʕ
bacaad	b æ ʕ æː d
bacaadweyn	b æ ʕ æː d w e j n
bacaadweyne	b æ ʕ æː d w e j n e
bacadle	b æ ʕ æ d l e
bacadweyne	b æ ʕ æ d w e j n e
bacarimin	b æ ʕ æ r i m i n
bach	b æ ʕ h
bachchan	b æ ʕ h ʕ h æ n
bacrinta	b æ ʕ r i n t æ
bad	b æ d
bada	b æ d æ
badacas	b æ d æ ʕ æ s
badan	b æ d æ n
baday	b æ d æ j
badda	b æ d d æ
baddacas	b æ d d æ ʕ æ s
badeeco	b æ d eː ʕ ɔ
badeed	b æ d eː d
badeeda	b æ d eː d æ
badeedaha	b æ d eː d æ h æ
badeedka	b æ d eː d k æ
badeel	b æ d eː l
badejo	b æ d e d͡ʒ ɔ
badent	b æ d e n t
bader	b æ d e r
badertii	b æ d e r t iː
badh	b æ ɖ
badhaadhe	b æ ɖ æː ɖ e
badhan	b æ ɖ æ n
badhe	b æ ɖ e
badhtamaha	b æ ɖ t æ m æ h æ
badhyo	b æ ɖ j ɔ
badmaax	b æ d m æː ħ
badmareen	b æ d m æ r eː n
badmareenka	b æ d m æ r eː n k æ
badminton	b æ d m i n t ɔ n
badmus	b æ d m u s
badnaansho	b æ d n æː n ʃ ɔ
badownimo	b æ d ɔ w n i m ɔ
badraan	b æ d r æː n
badri	b æ d r i
baduuda	b æ d uː d æ
badwayn	b æ d w æ j n
badwaynta	b æ d w æ j n t æ
badweeynta	b æ d w eː j n t æ
badweyn	b æ d w e j n
badweynta	b æ d w e j n t æ
bae	b æ e
baekeland	b æ e k e l æ n d
baekhyun	b æ e χ j u n
baeksang	b æ e k s æ n ɡ
bafing	b æ f i n ɡ
bagal	b æ ɡ æ l
bagheri	b æ ɡ h e r i
baghramian	b æ ɡ h r æ m i æ n
bah	b æ h
baha	b æ h æ
bahaaci	b æ h æː ʕ i
bahabar	b æ h æ b æ r
bahadhamal	b æ h æ ɖ æ m æ l
bahal	b æ h æ l
bahalada	b æ h æ l æ d æ
bahalhiglo	b æ h æ l h i ɡ l ɔ
bahamas	b æ h æ m æ s
bahda	b æ h d æ
bahgeri	b æ h ɡ e r i
bahgheri	b æ h ɡ h e r i
bahia	b æ h i æ
bahini	b æ h i n i
bahir	b æ h i r
bahmajeelo	b æ h m æ d͡ʒ eː l ɔ
baho	b æ h ɔ
bahr	b æ h r
bahrain	b æ h r æ i n
bahsanbuur	b æ h s æ n b uː r
baig	b æ i ɡ
bailey	b æ i l e j
bair	b æ i r
baixo	b æ i ħ ɔ
bajeela	b æ d͡ʒ eː l æ
bajuni	b æ d͡ʒ u n i
bajuuni	b æ d͡ʒ uː n i
bakaaraha	b æ k æː r æ h æ
bakar	b æ k æ r
bakare	b æ k æ r e
baker	b æ k e r
bakeyle	b æ k e j l e
bakhaarka	b æ χ æː r k æ
bakhshal	b æ χ ʃ æ l
bakhtiiye	b æ χ t iː j e
bakhtiyeen	b æ χ t i j eː n
baki	b æ k i
bakistaan	b æ k i s t æː n
bakistan	b æ k i s t æ n
bako	b æ k ɔ
bakool	b æ k ɔː l
bakoorad	b æ k ɔː r æ d
bakr	b æ k r
bakteeri	b æ k t eː r i
bakteeriya	b æ k t eː r i j æ
bakteriya	b æ k t e r i j æ
bakunin	b æ k u n i n
balac	b æ l æ ʕ
balada	b æ l æ d æ
baladiyaam	b æ l æ d i j æː m
balakh	b æ l æ χ
balamballe	b æ l æ m b æ l l e
balanbaal	b æ l æ n b æː l
balanbaalis	b æ l æ n b æː l i s
balanbaalista	b æ l æ n b æː l i s t æ
balanbal	b æ l æ n b æ l
balanballe	b æ l æ n b æ l l e
balangida	b æ l æ n ɡ i d æ
balaraba	b æ l æ r æ b æ
balas	b æ l æ s
balatiiniyaam	b æ l æ t iː n i j æː m
balatiniyaam	b æ l æ t i n i j æː m
balau	b æ l æ u
balcad	b æ l ʕ æ d
baldiiqa	b æ l d iː q æ
baldwin	b æ l d w i n
baleyoarkeyaan	b æ l e j ɔ æ r k e j æː n
baleyojiin	b æ l e j ɔ d͡ʒ iː n
bali	b æ l i
balicad	b æ l i ʕ æ d
balidhidhin	b æ l i ɖ i ɖ i n
balidhidin	b æ l i ɖ i d i n
balidhiig	b æ l i ɖ iː ɡ
baligubadle	b æ l i ɡ u b æ d l e
balinese	b æ l i n e s e
balkaan	b æ l k æː n
balkan	b æ l k æ n
balkans	b æ l k æ n s
ball	b æ l l
ballanbaal	b æ l l æ n b æː l
balli	b æ l l i
ballidagaruen	b æ l l i d æ ɡ æ r u e n
ballidhidin	b æ l l i ɖ i d i n
balliga	b æ l l i ɡ æ
balliyada	b æ l l i j æ d æ
balloon	b æ l l ɔː n
balogun	b æ l ɔ ɡ u n
balotelli	b æ l ɔ t e l l i
balqaan	b æ l q æː n
balta	b æ l t æ
balti	b æ l t i
baltimore	b æ l t i m ɔ r e
baltruschat	b æ l t r u s ʕ h æ t
balut	b æ l u t
baluug	b æ l uː ɡ
baluuq	b æ l uː q
baluuqjeclid	b æ l uː q d͡ʒ e ʕ l i d
baluuqnimada	b æ l uː q n i m æ d æ
balwadda	b æ l w æ d d æ
balwo	b æ l w ɔ
balyuuarkeyaan	b æ l j uː æ r k e j æː n
balyuujiin	b æ l j uː d͡ʒ iː n
bam	b æ m
bamaiyi	b æ m æ i j i
bamako	b æ m æ k ɔ
bambeelmo	b æ m b eː l m ɔ
bambi	b æ m b i
bamboes	b æ m b ɔ e s
bambrella	b æ m b r e l l æ
bamidele	b æ m i d e l e
bamire	b æ m i r e
bamitale	b æ m i t æ l e
bamka	b æ m k æ
ban	b æ n
banaadir	b æ n æː d i r
banaan	b æ n æː n
banaanbaxa	b æ n æː n b æ ħ æ
banaaney	b æ n æː n e j
banaanida	b æ n æː n i d æ
banadir	b æ n æ d i r
banama	b æ n æ m æ
bananas	b æ n æ n æ s
banawi	b æ n æ w i
bancade	b æ n ʕ æ d e
banda	b æ n d æ
bandar	b æ n d æ r
bandarbayla	b æ n d æ r b æ j l æ
bandarbeyla	b æ n d æ r b e j l æ
bandarjadiid	b æ n d æ r d͡ʒ æ d iː d
bandele	b æ n d e l e
bander	b æ n d e r
bandhiga	b æ n ɖ i ɡ æ
bandiiradley	b æ n d iː r æ d l e j
bandow	b æ n d ɔ w
banele	b æ n e l e
banfas	b æ n f æ s
bangalaa	b æ n ɡ æ l æː
bangaladhesh	b æ n ɡ æ l æ ɖ e ʃ
bangalidesh	b æ n ɡ æ l i d e ʃ
bangalore	b æ n ɡ æ l ɔ r e
bangi	b æ n ɡ i
bangiga	b æ n ɡ i ɡ æ
bangkok	b æ n ɡ k ɔ k
bangla	b æ n ɡ l æ
bangladesh	b æ n ɡ l æ d e ʃ
bangu	b æ n ɡ u
bangui	b æ n ɡ u i
bangweulu	b æ n ɡ w e u l u
bani	b æ n i
baniaadan	b æ n i æː d æ n
banjar	b æ n d͡ʒ æ r
banjarese	b æ n d͡ʒ æ r e s e
banjarnegara	b æ n d͡ʒ æ r n e ɡ æ r æ
banjul	b æ n d͡ʒ u l
bank	b æ n k
banka	b æ n k æ
banki	b æ n k i
bankiga	b æ n k i ɡ æ
bankigii	b æ n k i ɡ iː
bankiyada	b æ n k i j æ d æ
banks	b æ n k s
banky	b æ n k j
bannaan	b æ n n æː n
banner	b æ n n e r
bannerman	b æ n n e r m æ n
bano	b æ n ɔ
banomyong	b æ n ɔ m j ɔ n ɡ
banton	b æ n t ɔ n
bantu	b æ n t u
bantunimo	b æ n t u n i m ɔ
banuu	b æ n uː
baptist	b æ t i s t
baqal	b æ q æ l
baqara	b æ q æ r æ
baqdaad	b æ q d æː d
baqdin	b æ q d i n
baqiic	b æ q iː ʕ
bar	b æ r
baraag	b æ r æː ɡ
baraagta	b æ r æː ɡ t æ
baraak	b æ r æː k
baraale	b æ r æː l e
baraarug	b æ r æː r u ɡ
baraasiil	b æ r æː s iː l
baraawani	b æ r æː w æ n i
baraawe	b æ r æː w e
barack	b æ r æ ʕ k
baraf	b æ r æ f
baraguay	b æ r æ ɡ u æ j
baraha	b æ r æ h æ
baran	b æ r æ n
barandhe	b æ r æ n ɖ e
barandho	b æ r æ n ɖ ɔ
barar	b æ r æ r
baras	b æ r æ s
barasafille	b æ r æ s æ f i l l e
barashada	b æ r æ ʃ æ d æ
barasiil	b æ r æ s iː l
barasiliya	b æ r æ s i l i j æ
barasillia	b æ r æ s i l l i æ
barath	b æ r æ t h
barawa	b æ r æ w æ
barbados	b æ r b æ d ɔ s
barbara	b æ r b æ r æ
barbarie	b æ r b æ r i e
barbaroole	b æ r b æ r ɔː l e
barbeydos	b æ r b e j d ɔ s
barboosa	b æ r b ɔː s æ
barbuda	b æ r b u d æ
barbuur	b æ r b uː r
barbuzano	b æ r b u æ n ɔ
barcelona	b æ r ʕ e l ɔ n æ
bardaale	b æ r d æː l e
bardagool	b æ r d æ ɡ ɔː l
bardera	b æ r d e r æ
bardhere	b æ r ɖ e r e
bardooddan	b æ r d ɔː d d æ n
bare	b æ r e
bareedo	b æ r eː d ɔ
barfasoor	b æ r f æ s ɔː r
bargaan	b æ r ɡ æː n
barham	b æ r h æ m
bari	b æ r i
baribiyood	b æ r i b i j ɔː d
bariga	b æ r i ɡ æ
bariire	b æ r iː r e
bariis	b æ r iː s
baringo	b æ r i n ɡ ɔ
bario	b æ r i ɔ
barisan	b æ r i s æ n
barium	b æ r i u m
barkad	b æ r k æ d
barkada	b æ r k æ d æ
barkadda	b æ r k æ d d æ
barkhad	b æ r χ æ d
barlow	b æ r l ɔ w
barmiyaan	b æ r m i j æː n
barmuudo	b æ r m uː d ɔ
barnamijka	b æ r n æ m i d͡ʒ k æ
barnard	b æ r n æ r d
barnato	b æ r n æ t ɔ
barney	b æ r n e j
barnstar	b æ r n s t æ r
barookhle	b æ r ɔː χ l e
barqo	b æ r q ɔ
barrage	b æ r r æ ɡ e
barrande	b æ r r æ n d e
barre	b æ r r e
barreiros	b æ r r e i r ɔ s
barrelka	b æ r r e l k æ
barren	b æ r r e n
barriers	b æ r r i e r s
barrleka	b æ r r l e k æ
barry	b æ r r j
barsane	b æ r s æ n e
barta	b æ r t æ
bartamaha	b æ r t æ m æ h æ
barth	b æ r t h
barthel	b æ r t h e l
bartire	b æ r t i r e
barunay	b æ r u n æ j
baruur	b æ r uː r
barwaani	b æ r w æː n i
barxadda	b æ r ħ æ d d æ
barya	b æ r j æ
bas	b æ s
basaas	b æ s æː s
basaasan	b æ s æː s æ n
basaka	b æ s æ k æ
basal	b æ s æ l
basali	b æ s æ l i
basbaas	b æ s b æː s
baseball	b æ s e b æ l l
bashiir	b æ ʃ iː r
bashim	b æ ʃ i m
bashir	b æ ʃ i r
basho	b æ ʃ ɔ
basic	b æ s i ʕ
baskin	b æ s k i n
basli	b æ s l i
basra	b æ s r æ
bass	b æ s s
bassa	b æ s s æ
bassboortka	b æ s s b ɔː r t k æ
bassett	b æ s s e t t
