aa	a a
allosaurus	a l l o s a u r u s
allu	a l l u
almachzumi	a l m a t͡ʃ h z u m i
almaz	a l m a z
almazul	a l m a z u l
almere	a l m e r e
almira	a l m i r a
almoj	a l m o d͡ʒ̤
almond	a l m o n d̪̤
almost	a l m o s t
alnes	a l n e s
alobha	a l o b̤ h a
alocasia	a l o t͡ʃ a s i a
alois	a l o i s
alok	a l o k
alon	a l o n
alona	a l o n a
alonzo	a l o n z o
aloo	a l o o
alor	a l o r
alou	a l o u
aloysius	a l o j s i u s
alpaka	a l p a k a
alpawangsa	a l p a w a ŋ s a
alpen	a l p e n
alpha	a l p h a
alphabetic	a l p h a b̤ e t i t͡ʃ
alphege	a l p h e ɡ̤ e
alphen	a l p h e n
alphonse	a l p h o n s e
alphonso	a l p h o n s o
alphonsus	a l p h o n s u s
alpico	a l p i t͡ʃ o
alpine	a l p i n e
alpinia	a l p i n i a
alpokat	a l p o k a t
alprazolam	a l p r a z o l a m
alrodnia	a l r o d̪̤ n i a
als	a l s
alsace	a l s a t͡ʃ e
alshus	a l s h u s
alstadhaug	a l s t a ɖ̤ a u ɡ̤
alstahaug	a l s t a h a u ɡ̤
alster	a l s t e r
alsv	a l s v
alta	a l t a
altavilla	a l t a v i l l a
altay	a l t a j
altdorf	a l t d̪̤ o r f
alter	a l t e r
alterneset	a l t e r n e s e t
altino	a l t i n o
altufyevo	a l t u f j e v o
alu	a l u
aluan	a l u a n
alue	a l u e
aluh	a l u h
alum	a l u m
aluminium	a l u m i n i u m
alumunium	a l u m u n i u m
alumuniyum	a l u m u n i j u m
alun	a l u n
alur	a l u r
alus	a l u s
aluvial	a l u v i a l
alv	a l v
alvaro	a l v a r o
alvdal	a l v d̪̤ a l
alveim	a l v e i m
alveolata	a l v e o l a t a
alver	a l v e r
alverstraumen	a l v e r s t r a u m e n
alves	a l v e s
alvin	a l v i n
alwernia	a l w e r n i a
alya	a l j a
alyssa	a l j s s a
alzano	a l z a n o
alzheimer	a l z h e i m e r
am	a m
ama	a m a
amabi	a m a b̤ i
amadanom	a m a d̪̤ a n o m
amadou	a m a d̪̤ o u
amagasaki	a m a ɡ̤ a s a k i
amahai	a m a h a i
amal	a m a l
amala	a m a l a
amali	a m a l i
amalric	a m a l r i t͡ʃ
amalya	a m a l j a
aman	a m a n
amanatun	a m a n a t u n
amand	a m a n d̪̤
amanda	a m a n d̪̤ a
amandanom	a m a n d̪̤ a n o m
amandel	a m a n d̪̤ e l
amandhel	a m a n ɖ̤ e l
amandine	a m a n d̪̤ i n e
amandraya	a m a n d̪̤ r a j a
amangkurat	a m a ŋ k u r a t
amanita	a m a n i t a
amano	a m a n o
amanojaku	a m a n o d͡ʒ̤ a k u
amanuban	a m a n u b̤ a n
amar	a m a r
amara	a m a r a
amaranthaceae	a m a r a n ʈ a t͡ʃ e a e
amarasi	a m a r a s i
amarawat	a m a r a w a t
amaretto	a m a r e t t o
amargasaurus	a m a r ɡ̤ a s a u r u s
amas	a m a s
amasi	a m a s i
amasigen	a m a s i ɡ̤ e n
amaterasu	a m a t e r a s u
amateur	a m a t e u r
amauri	a m a u r i
amawang	a m a w a ŋ
amazak	a m a z a k
amazing	a m a z i ŋ
amazon	a m a z o n
amba	a m b̤ a
ambahai	a m b̤ a h a i
ambakiang	a m b̤ a k i a ŋ
ambal	a m b̤ a l
ambalat	a m b̤ a l a t
ambalawi	a m b̤ a l a w i
ambalika	a m b̤ a l i k a
ambalkebrek	a m b̤ a l k e b̤ r e k
ambalkliwonan	a m b̤ a l k l i w o n a n
ambalkumala	a m b̤ a l k u m a l a
ambalkumolo	a m b̤ a l k u m o l o
ambalresmi	a m b̤ a l r e s m i
amban	a m b̤ a n
ambarawa	a m b̤ a r a w a
ambarketawang	a m b̤ a r k e t a w a ŋ
ambartawang	a m b̤ a r t a w a ŋ
ambarwinangun	a m b̤ a r w i n a ŋ u n
ambat	a m b̤ a t
ambawang	a m b̤ a w a ŋ
ambedkar	a m b̤ e d̪̤ k a r
ambeg	a m b̤ e ɡ̤
ambegan	a m b̤ e ɡ̤ a n
ambender	a m b̤ e n d̪̤ e r
ambeng	a m b̤ e ŋ
ambengan	a m b̤ e ŋ a n
amber	a m b̤ e r
amberbaken	a m b̤ e r b̤ a k e n
amberscript	a m b̤ e r s t͡ʃ r i p t
ambika	a m b̤ i k a
ambit	a m b̤ i t
ambl	a m b̤ l
ambokembang	a m b̤ o k e m b̤ a ŋ
ambokulon	a m b̤ o k u l o n
ambon	a m b̤ o n
amborellaceae	a m b̤ o r e l l a t͡ʃ e a e
amborellales	a m b̤ o r e l l a l e s
ambow	a m b̤ o w
ambowetan	a m b̤ o w e t a n
ambril	a m b̤ r i l
ambrose	a m b̤ r o s e
ambrosia	a m b̤ r o s i a
ambrosio	a m b̤ r o s i o
ambrosius	a m b̤ r o s i u s
ambu	a m b̤ u
ambudhiwic	a m b̤ u ɖ̤ i w i t͡ʃ
ambula	a m b̤ u l a
ambulu	a m b̤ u l u
ambungan	a m b̤ u ŋ a n
ambunten	a m b̤ u n t e n
ambutun	a m b̤ u t u n
amchoor	a m t͡ʃ h o o r
amd	a m d̪̤
amdal	a m d̪̤ a l
ameesha	a m e e s h a
amel	a m e l
ameland	a m e l a n d̪̤
amen	a m e n
amengkubuwana	a m e ŋ k u b̤ u w a n a
amenhotep	a m e n h o t e p
america	a m e r i t͡ʃ a
american	a m e r i t͡ʃ a n
amerika	a m e r i k a
amerikanische	a m e r i k a n i s t͡ʃ h e
amerisium	a m e r i s i u m
amersfoort	a m e r s f o o r t
amerta	a m e r t a
amfibi	a m f i b̤ i
amfibia	a m f i b̤ i a
amfoang	a m f o a ŋ
amhran	a m h r a n
ami	a m i
amida	a m i d̪̤ a
amien	a m i e n
amigos	a m i ɡ̤ o s
amil	a m i l
amin	a m i n
aminah	a m i n a h
aminata	a m i n a t a
aming	a m i ŋ
amino	a m i n o
aminoedin	a m i n o e d̪̤ i n
amintore	a m i n t o r e
amir	a m i r
amirhossein	a m i r h o s s e i n
amitabh	a m i t a b̤ h
amitabha	a m i t a b̤ h a
amitriptilin	a m i t r i p t i l i n
ammad	a m m a d̪̤
amman	a m m a n
ammonite	a m m o n i t e
ammonium	a m m o n i u m
amniota	a m n i o t a
amoeba	a m o e b̤ a
amoghapasa	a m o ɡ̤ h a p a s a
among	a m o ŋ
amongraga	a m o ŋ r a ɡ̤ a
amongrogo	a m o ŋ r o ɡ̤ o
amonia	a m o n i a
amonium	a m o n i u m
amor	a m o r
amorosi	a m o r o s i
amos	a m o s
amp	a m p
ampana	a m p a n a
ampar	a m p a r
ampara	a m p a r a
amparaan	a m p a r a a n
amparaya	a m p a r a j a
ampaw	a m p a w
ampek	a m p e k
ampel	a m p e l
ampeldento	a m p e l d̪̤ e n t o
ampelgading	a m p e l ɡ̤ a d̪̤ i ŋ
ampelocissus	a m p e l o t͡ʃ i s s u s
ampelsari	a m p e l s a r i
ampenan	a m p e n a n
ampezzo	a m p e z z o
ampibabo	a m p i b̤ a b̤ o
ampih	a m p i h
ampil	a m p i l
ampilan	a m p i l a n
amplas	a m p l a s
ampliatus	a m p l i a t u s
amplop	a m p l o p
ampukung	a m p u k u ŋ
ampyang	a m p j a ŋ
amr	a m r
amri	a m r i
amritsar	a m r i t s a r
amro	a m r o
amstelveen	a m s t e l v e e n
amsterdam	a m s t e r d̪̤ a m
amuntai	a m u n t a i
amur	a m u r
amy	a m j
an	a n
ana	a n a
anabar	a n a b̤ a r
anabolisme	a n a b̤ o l i s m e
anacardiaceae	a n a t͡ʃ a r d̪̤ i a t͡ʃ e a e
anadhresya	a n a ɖ̤ r e s j a
anadila	a n a d̪̤ i l a
anafilaksis	a n a f i l a k s i s
anaheim	a n a h e i m
anak	a n a k
anake	a n a k e
analisis	a n a l i s i s
analog	a n a l o ɡ̤
analogi	a n a l o ɡ̤ i
ananas	a n a n a s
ananda	a n a n d̪̤ a
anandia	a n a n d̪̤ i a
anang	a n a ŋ
ananta	a n a n t a
anaphalis	a n a p h a l i s
anaphylaxis	a n a p h j l a ks i s
anaraga	a n a r a ɡ̤ a
anarki	a n a r k i
anarkisme	a n a r k i s m e
anas	a n a s
anasa	a n a s a
anasir	a n a s i r
anastacia	a n a s t a t͡ʃ i a
anastasia	a n a s t a s i a
anatahan	a n a t a h a n
anathole	a n a ʈ o l e
anatole	a n a t o l e
anatolia	a n a t o l i a
anatolian	a n a t o l i a n
anatomi	a n a t o m i
anatomy	a n a t o m j
anatotitan	a n a t o t i t a n
anbang	a n b̤ a ŋ
ancab	a n t͡ʃ a b̤
ancak	a n t͡ʃ a k
ancas	a n t͡ʃ a s
ancelotti	a n t͡ʃ e l o t t i
ancient	a n t͡ʃ i e n t
ancients	a n t͡ʃ i e n t s
ancik	a n t͡ʃ i k
ancona	a n t͡ʃ o n a
and	a n d̪̤
andaliman	a n d̪̤ a l i m a n
andalus	a n d̪̤ a l u s
andalusia	a n d̪̤ a l u s i a
andaman	a n d̪̤ a m a n
andang	a n d̪̤ a ŋ
andayaningrat	a n d̪̤ a j a n i ŋ r a t
andenes	a n d̪̤ e n e s
anderen	a n d̪̤ e r e n
anders	a n d̪̤ e r s
anderson	a n d̪̤ e r s o n
andes	a n d̪̤ e s
andesi	a n d̪̤ e s i
andh	a n ɖ̤
andha	a n ɖ̤ a
andhara	a n ɖ̤ a r a
andharaning	a n ɖ̤ a r a n i ŋ
andhegan	a n ɖ̤ e ɡ̤ a n
andheng	a n ɖ̤ e ŋ
andhika	a n ɖ̤ i k a
andhir	a n ɖ̤ i r
andhong	a n ɖ̤ o ŋ
andhongreja	a n ɖ̤ o ŋ r e d͡ʒ̤ a
andhongsari	a n ɖ̤ o ŋ s a r i
andhuk	a n ɖ̤ u k
andi	a n d̪̤ i
andien	a n d̪̤ i e n
andijk	a n d̪̤ i d͡ʒ̤ k
andijon	a n d̪̤ i d͡ʒ̤ o n
andika	a n d̪̤ i k a
andity	a n d̪̤ i t j
andjar	a n d̪̤ d͡ʒ̤ a r
andong	a n d̪̤ o ŋ
andongrejo	a n d̪̤ o ŋ r e d͡ʒ̤ o
andongsili	a n d̪̤ o ŋ s i l i
andoolo	a n d̪̤ o o l o
andorra	a n d̪̤ o r r a
andouille	a n d̪̤ o u i l l e
andouillette	a n d̪̤ o u i l l e t t e
andr	a n d̪̤ r
andra	a n d̪̤ r a
andrajos	a n d̪̤ r a d͡ʒ̤ o s
andre	a n d̪̤ r e
andrea	a n d̪̤ r e a
andreas	a n d̪̤ r e a s
andrei	a n d̪̤ r e i
andretta	a n d̪̤ r e t t a
andrew	a n d̪̤ r e w
andrewsarchus	a n d̪̤ r e w s a r t͡ʃ h u s
andrey	a n d̪̤ r e j
andries	a n d̪̤ r i e s
andrija	a n d̪̤ r i d͡ʒ̤ a
andrik	a n d̪̤ r i k
andriy	a n d̪̤ r i j
androgen	a n d̪̤ r o ɡ̤ e n
android	a n d̪̤ r o i d̪̤
andromeda	a n d̪̤ r o m e d̪̤ a
andros	a n d̪̤ r o s
andrych	a n d̪̤ r j t͡ʃ h
andrychow	a n d̪̤ r j t͡ʃ h o w
andsnes	a n d̪̤ s n e s
anduhum	a n d̪̤ u h u m
anduk	a n d̪̤ u k
andulang	a n d̪̤ u l a ŋ
andung	a n d̪̤ u ŋ
andungsari	a n d̪̤ u ŋ s a r i
andy	a n d̪̤ j
anekantavada	a n e k a n t a v a d̪̤ a
aneke	a n e k e
anemia	a n e m i a
anemoi	a n e m o i
anemon	a n e m o n
aneng	a n e ŋ
anestesi	a n e s t e s i
anestesiologi	a n e s t e s i o l o ɡ̤ i
anetan	a n e t a n
anfield	a n f i e l d̪̤
ang	a ŋ
angabar	a ŋ a b̤ a r
angantaka	a ŋ a n t a k a
angata	a ŋ a t a
angel	a ŋ e l
angela	a ŋ e l a
angeles	a ŋ e l e s
angelina	a ŋ e l i n a
angelique	a ŋ e l i q u e
angelita	a ŋ e l i t a
angelo	a ŋ e l o
angels	a ŋ e l s
angelus	a ŋ e l u s
angely	a ŋ e l j
angesthi	a ŋ e s ʈ i
angga	a ŋ ɡ̤ a
anggada	a ŋ ɡ̤ a d̪̤ a
anggana	a ŋ ɡ̤ a n a
anggang	a ŋ ɡ̤ a ŋ
anggar	a ŋ ɡ̤ a r
anggara	a ŋ ɡ̤ a r a
anggaran	a ŋ ɡ̤ a r a n
anggaswangi	a ŋ ɡ̤ a s w a ŋ i
anggegana	a ŋ ɡ̤ e ɡ̤ a n a
anggenthong	a ŋ ɡ̤ e n ʈ o ŋ
angger	a ŋ ɡ̤ e r
anggeraja	a ŋ ɡ̤ e r a d͡ʒ̤ a
anggersek	a ŋ ɡ̤ e r s e k
anggi	a ŋ ɡ̤ i
anggia	a ŋ ɡ̤ i a
anggisrana	a ŋ ɡ̤ i s r a n a
anggora	a ŋ ɡ̤ o r a
anggoro	a ŋ ɡ̤ o r o
anggota	a ŋ ɡ̤ o t a
anggr	a ŋ ɡ̤ r
anggraini	a ŋ ɡ̤ r a i n i
anggrasmanis	a ŋ ɡ̤ r a s m a n i s
anggrek	a ŋ ɡ̤ r e k
anggruk	a ŋ ɡ̤ r u k
anggrung	a ŋ ɡ̤ r u ŋ
angguk	a ŋ ɡ̤ u k
anggun	a ŋ ɡ̤ u n
anggur	a ŋ ɡ̤ u r
angham	a ŋ h a m
angin	a ŋ i n
angiology	a ŋ i o l o ɡ̤ j
angiosperm	a ŋ i o s p e r m
angiospermae	a ŋ i o s p e r m a e
angiosperms	a ŋ i o s p e r m s
angka	a ŋ k a
angkah	a ŋ k a h
angkaisera	a ŋ k a i s e r a
angkak	a ŋ k a k
angkasa	a ŋ k a s a
angkat	a ŋ k a t
angkatan	a ŋ k a t a n
angki	a ŋ k i
angkie	a ŋ k i e
angkinang	a ŋ k i n a ŋ
angkipih	a ŋ k i p i h
angklo	a ŋ k l o
angklung	a ŋ k l u ŋ
angkola	a ŋ k o l a
angkona	a ŋ k o n a
angkor	a ŋ k o r
angkot	a ŋ k o t
angkrang	a ŋ k r a ŋ
angkrem	a ŋ k r e m
angkrik	a ŋ k r i k
angkring	a ŋ k r i ŋ
angkringan	a ŋ k r i ŋ a n
angkudan	a ŋ k u d̪̤ a n
angkup	a ŋ k u p
angkutan	a ŋ k u t a n
anglaise	a ŋ l a i s e
anglir	a ŋ l i r
anglo	a ŋ l o
angob	a ŋ o b̤
angola	a ŋ o l a
angon	a ŋ o n
angron	a ŋ r o n
angry	a ŋ r j
angsa	a ŋ s a
angsana	a ŋ s a n a
angsanah	a ŋ s a n a h
angsang	a ŋ s a ŋ
angsau	a ŋ s a u
angseri	a ŋ s e r i
angsle	a ŋ s l e
angsokah	a ŋ s o k a h
anguilla	a ŋ u i l l a
angus	a ŋ u s
angvik	a ŋ v i k
anhar	a n h a r
ani	a n i
anibare	a n i b̤ a r e
anicetus	a n i t͡ʃ e t u s
anicka	a n i t͡ʃ k a
anie	a n i e
anies	a n i e s
anik	a n i k
anil	a n i l
anila	a n i l a
animal	a n i m a l
animalia	a n i m a l i a
animandaya	a n i m a n d̪̤ a j a
animasi	a n i m a s i
animator	a n i m a t o r
anime	a n i m e
animisme	a n i m i s m e
anindya	a n i n d̪̤ j a
aniplex	a n i p l e ks
aniruda	a n i r u d̪̤ a
anis	a n i s
anita	a n i t a
aniungan	a n i u ŋ a n
anjana	a n d͡ʒ̤ a n a
anjani	a n d͡ʒ̤ a n i
anjar	a n d͡ʒ̤ a r
anjas	a n d͡ʒ̤ a s
anjasmara	a n d͡ʒ̤ a s m a r a
anjatan	a n d͡ʒ̤ a t a n
anjing	a n d͡ʒ̤ i ŋ
anjir	a n d͡ʒ̤ i r
anju	a n d͡ʒ̤ u
anjung	a n d͡ʒ̤ u ŋ
ankara	a n k a r a
ankenesstranda	a n k e n e s s t r a n d̪̤ a
ankle	a n k l e
ankunthi	a n k u n ʈ i
ankylosaurus	a n k j l o s a u r u s
anleu	a n l e u
anmyeondo	a n m j e o n d̪̤ o
ann	a n n
anna	a n n a
annabelle	a n n a b̤ e l l e
annapurna	a n n a p u r n a
annas	a n n a s
annatto	a n n a t t o
anne	a n n e
anneke	a n n e k e
annelida	a n n e l i d̪̤ a
annemiek	a n n e m i e k
annie	a n n i e
annin	a n n i n
annisa	a n n i s a
annita	a n n i t a
annona	a n n o n a
annopol	a n n o p o l
annum	a n n u m
anny	a n ɲ
anoa	a n o a
anom	a n o m
anomalisa	a n o m a l i s a
anoman	a n o m a n
anon	a n o n
anopheles	a n o p h e l e s
another	a n o ʈ e r
anova	a n o v a
anpan	a n p a n
anrangkusuma	a n r a ŋ k u s u m a
anreapi	a n r e a p i
anredera	a n r e d̪̤ e r a
anri	a n r i
ansan	a n s a n
ansari	a n s a r i
anse	a n s e
ansel	a n s e l
anselme	a n s e l m e
anselmus	a n s e l m u s
anseong	a n s e o ŋ
anser	a n s e r
anseriformes	a n s e r i f o r m e s
anseris	a n s e r i s
ansgar	a n s ɡ̤ a r
anssi	a n s s i
ansu	a n s u
answer	a n s w e r
ant	a n t
antaboga	a n t a b̤ o ɡ̤ a
antananarivo	a n t a n a n a r i v o
antang	a n t a ŋ
antap	a n t a p
antapan	a n t a p a n
antapani	a n t a p a n i
antar	a n t a r
antaraku	a n t a r a k u
antaraning	a n t a r a n i ŋ
antareja	a n t a r e d͡ʒ̤ a
antares	a n t a r e s
antariksa	a n t a r i k s a
antariksawan	a n t a r i k s a w a n
antarktika	a n t a r k t i k a
antartika	a n t a r t i k a
antas	a n t a s
antasan	a n t a s a n
antasari	a n t a s a r i
antasena	a n t a s e n a
ante	a n t e
antelop	a n t e l o p
anthedon	a n ʈ e d̪̤ o n
anthem	a n ʈ e m
anthonius	a n ʈ o n i u s
anthony	a n ʈ o ɲ
anthozoa	a n ʈ o z o a
anthropic	a n ʈ r o p i t͡ʃ
anthurium	a n ʈ u r i u m
anti	a n t i
antibeku	a n t i b̤ e k u
antibiotik	a n t i b̤ i o t i k
antibodi	a n t i b̤ o d̪̤ i
anticucho	a n t i t͡ʃ u t͡ʃ h o
antidiuretik	a n t i d̪̤ i u r e t i k
antiga	a n t i ɡ̤ a
antiglobalisasi	a n t i ɡ̤ l o b̤ a l i s a s i
antigua	a n t i ɡ̤ u a
antillen	a n t i l l e n
antimon	a n t i m o n
anting	a n t i ŋ
antioksidan	a n t i o k s i d̪̤ a n
antipasto	a n t i p a s t o
antirogo	a n t i r o ɡ̤ o
antis	a n t i s
antiseptik	a n t i s e p t i k
antivirus	a n t i v i r u s
antiwati	a n t i w a t i
antlia	a n t l i a
anto	a n t o
antoine	a n t o i n e
antojito	a n t o d͡ʒ̤ i t o
antolin	a n t o l i n
anton	a n t o n
antoni	a n t o n i
antonia	a n t o n i a
antonie	a n t o n i e
antonim	a n t o n i m
antonin	a n t o n i n
antonio	a n t o n i o
antonius	a n t o n i u s
antonov	a n t o n o v
antosari	a n t o s a r i
antosianin	a n t o s i a n i n
antraks	a n t r a k s
antropolog	a n t r o p o l o ɡ̤
antropologi	a n t r o p o l o ɡ̤ i
anturan	a n t u r a n
antv	a n t v
antwerp	a n t w e r p
antwerpen	a n t w e r p e n
antwi	a n t w i
antya	a n t j a
anu	a n u
anudhara	a n u ɖ̤ a r a
anugerah	a n u ɡ̤ e r a h
anumerta	a n u m e r t a
anuradha	a n u r a ɖ̤ a
anus	a n u s
anusapati	a n u s a p a t i
anusasanaparwa	a n u s a s a n a p a r w a
anuskha	a n u s k h a
anuswara	a n u s w a r a
anuwinda	a n u w i n d̪̤ a
anwar	a n w a r
any	a ɲ
anya	a ɲ a
anyakrawati	a ɲ a k r a w a t i
anyar	a ɲ a r
anyelir	a ɲ e l i r
anyer	a ɲ e r
anz	a n z
anzac	a n z a t͡ʃ
anzio	a n z i o
anzola	a n z o l a
ao	a o
aoh	a o h
aoimori	a o i m o r i
aonami	a o n a m i
aora	a o r a
aorta	a o r t a
aosta	a o s t a
aoyama	a o j a m a
aozora	a o z o r a
apa	a p a
apaan	a p a a n
apalapsili	a p a l a p s i l i
apanage	a p a n a ɡ̤ e
apanase	a p a n a s e
apar	a p a r
aparajita	a p a r a d͡ʒ̤ i t a
apartem	a p a r t e m
apawer	a p a w e r
apbn	a p b̤ n
apec	a p e t͡ʃ
apel	a p e l
apeldoorn	a p e l d̪̤ o o r n
apeles	a p e l e s
apem	a p e m
apenheul	a p e n h e u l
apfelk	a p f e l k
apg	a p ɡ̤
apherisis	a p h e r i s i s
aphrodisiac	a p h r o d̪̤ i s i a t͡ʃ
api	a p i
apice	a p i t͡ʃ e
aplang	a p l a ŋ
apo	a p o
apocalypse	a p o t͡ʃ a l j p s e
apocope	a p o t͡ʃ o p e
apocynaceae	a p o t͡ʃ j n a t͡ʃ e a e
apokat	a p o k a t
apollo	a p o l l o
apollonia	a p o l l o n i a
apollosa	a p o l l o s a
apoplas	a p o p l a s
apoptosis	a p o p t o s i s
apostolik	a p o s t o l i k
apostolos	a p o s t o l o s
app	a p p
appa	a p p a
appadurai	a p p a d̪̤ u r a i
appenzell	a p p e n z e l l
apple	a p p l e
applejack	a p p l e d͡ʒ̤ a t͡ʃ k
aprapransa	a p r a p r a n s a
apridianto	a p r i d̪̤ i a n t o
april	a p r i l
aprila	a p r i l a
aprilidianus	a p r i l i d̪̤ i a n u s
apriludy	a p r i l u d̪̤ j
apriyani	a p r i j a n i
apterygota	a p t e r j ɡ̤ o t a
apuai	a p u a i
apuan	a p u a n
apukat	a p u k a t
apus	a p u s
aq	a q
aqaba	a q a b̤ a
aqeqah	a q e q a h
aqidah	a q i d̪̤ a h
aqilah	a q i l a h
aqsa	a q s a
aqua	a q u a
aquafaba	a q u a f a b̤ a
aquanus	a q u a n u s
aquarium	a q u a r i u m
aquarius	a q u a r i u s
aquila	a q u i l a
aquilani	a q u i l a n i
aquilonia	a q u i l o n i a
aquino	a q u i n o
aquitaine	a q u i t a i n e
ar	a r
ara	a r a
arab	a r a b̤
arabia	a r a b̤ i a
arabic	a r a b̤ i t͡ʃ
araceae	a r a t͡ʃ e a e
arachnida	a r a t͡ʃ h n i d̪̤ a
aradan	a r a d̪̤ a n
aradide	a r a d̪̤ i d̪̤ e
arafah	a r a f a h
aragon	a r a ɡ̤ o n
arahan	a r a h a n
arak	a r a k
arakan	a r a k a n
aralle	a r a l l e
aran	a r a n
arancini	a r a n t͡ʃ i n i
arandaspis	a r a n d̪̤ a s p i s
aranday	a r a n d̪̤ a j
arane	a r a n e
arang	a r a ŋ
araning	a r a n i ŋ
aranio	a r a n i o
arany	a r a ɲ
aranyakanda	a r a ɲ a k a n d̪̤ a
arapaima	a r a p a i m a
ararat	a r a r a t
arare	a r a r e
arashi	a r a s h i
arashiyama	a r a s h i j a m a
arat	a r a t
arba	a r b̤ a
arbei	a r b̤ e i
arbenit	a r b̤ e n i t
arbitrage	a r b̤ i t r a ɡ̤ e
arbitrase	a r b̤ i t r a s e
arbok	a r b̤ o k
arc	a r t͡ʃ
arca	a r t͡ʃ a
arcamanik	a r t͡ʃ a m a n i k
arcawinangun	a r t͡ʃ a w i n a ŋ u n
arcee	a r t͡ʃ e e
arcen	a r t͡ʃ e n
archaea	a r t͡ʃ h a e a
archaebacteria	a r t͡ʃ h a e b̤ a t͡ʃ t e r i a
archaeopteryx	a r t͡ʃ h a e o p t e r j ks
arche	a r t͡ʃ h e
archelon	a r t͡ʃ h e l o n
archeopteryx	a r t͡ʃ h e o p t e r j ks
archi	a r t͡ʃ h i
archie	a r t͡ʃ h i e
archimedes	a r t͡ʃ h i m e d̪̤ e s
archuleta	a r t͡ʃ h u l e t a
arctocephalus	a r t͡ʃ t o t͡ʃ e p h a l u s
arcturus	a r t͡ʃ t u r u s
arda	a r d̪̤ a
arddhawisamamatra	a r d̪̤ ɖ̤ a w i s a m a m a t r a
ardenne	a r d̪̤ e n n e
ardian	a r d̪̤ i a n
ardina	a r d̪̤ i n a
ardini	a r d̪̤ i n i
ardireja	a r d̪̤ i r e d͡ʒ̤ a
ardisaeng	a r d̪̤ i s a e ŋ
ardiwinata	a r d̪̤ i w i n a t a
ardulfurataini	a r d̪̤ u l f u r a t a i n i
area	a r e a
arebut	a r e b̤ u t
arecaceae	a r e t͡ʃ a t͡ʃ e a e
arecales	a r e t͡ʃ a l e s
arek	a r e k
arem	a r e m
arema	a r e m a
aremania	a r e m a n i a
aremark	a r e m a r k
aren	a r e n
arena	a r e n a
arenan	a r e n a n
arendal	a r e n d̪̤ a l
areng	a r e ŋ
arensberg	a r e n s b̤ e r ɡ̤
areola	a r e o l a
arep	a r e p
arepa	a r e p a
ares	a r e s
arfak	a r f a k
arg	a r ɡ̤
arga	a r ɡ̤ a
argadadi	a r ɡ̤ a d̪̤ a d̪̤ i
argamulya	a r ɡ̤ a m u l j a
argap	a r ɡ̤ a p
argapeni	a r ɡ̤ a p e n i
argapura	a r ɡ̤ a p u r a
argareja	a r ɡ̤ a r e d͡ʒ̤ a
argasari	a r ɡ̤ a s a r i
argasoka	a r ɡ̤ a s o k a
argasuka	a r ɡ̤ a s u k a
argatawang	a r ɡ̤ a t a w a ŋ
argatirta	a r ɡ̤ a t i r t a
argayuwana	a r ɡ̤ a j u w a n a
argenta	a r ɡ̤ e n t a
argentina	a r ɡ̤ e n t i n a
argentinas	a r ɡ̤ e n t i n a s
argo	a r ɡ̤ o
argometeorologi	a r ɡ̤ o m e t e o r o l o ɡ̤ i
argon	a r ɡ̤ o n
argopeni	a r ɡ̤ o p e n i
argosari	a r ɡ̤ o s a r i
argosuko	a r ɡ̤ o s u k o
argotirto	a r ɡ̤ o t i r t o
argoyuwono	a r ɡ̤ o j u w o n o
argumen	a r ɡ̤ u m e n
argyrosaurus	a r ɡ̤ j r o s a u r u s
ari	a r i
aria	a r i a
ariadne	a r i a d̪̤ n e
ariake	a r i a k e
arial	a r i a l
ariana	a r i a n a
arianna	a r i a n n a
aribaya	a r i b̤ a j a
arie	a r i e
arief	a r i e f
ariel	a r i e l
arielli	a r i e l l i
ariely	a r i e l j
aries	a r i e s
ariesta	a r i e s t a
arif	a r i f
arifien	a r i f i e n
arifin	a r i f i n
arijanet	a r i d͡ʒ̤ a n e t
arimba	a r i m b̤ a
arimbaka	a r i m b̤ a k a
arimbi	a r i m b̤ i
arimura	a r i m u r a
arinal	a r i n a l
ario	a r i o
arirang	a r i r a ŋ
aris	a r i s
arisan	a r i s a n
arise	a r i s e
ariselu	a r i s e l u
arish	a r i s h
aristide	a r i s t i d̪̤ e
aristot	a r i s t o t
aristote	a r i s t o t e
aristoteles	a r i s t o t e l e s
aristotle	a r i s t o t l e
arit	a r i t
aritmatika	a r i t m a t i k a
aritmetika	a r i t m e t i k a
ariwarta	a r i w a r t a
arizal	a r i z a l
arizona	a r i z o n a
arja	a r d͡ʒ̤ a
arjamulya	a r d͡ʒ̤ a m u l j a
arjasa	a r d͡ʒ̤ a s a
arjasari	a r d͡ʒ̤ a s a r i
arjawilangun	a r d͡ʒ̤ a w i l a ŋ u n
arjawinangun	a r d͡ʒ̤ a w i n a ŋ u n
arjen	a r d͡ʒ̤ e n
arjomulyo	a r d͡ʒ̤ o m u l j o
arjono	a r d͡ʒ̤ o n o
arjosari	a r d͡ʒ̤ o s a r i
arjowinangun	a r d͡ʒ̤ o w i n a ŋ u n
arjun	a r d͡ʒ̤ u n
arjuna	a r d͡ʒ̤ u n a
ark	a r k
arka	a r k a
arkadiy	a r k a d̪̤ i j
arkana	a r k a n a
arkansas	a r k a n s a s
arkeoastonomi	a r k e o a s t o n o m i
arkeologi	a r k e o l o ɡ̤ i
arkhim	a r k h i m
arkia	a r k i a
arktik	a r k t i k
arm	a r m
armada	a r m a d̪̤ a
armadillo	a r m a d̪̤ i l l o
arman	a r m a n
armand	a r m a n d̪̤
